# # k [h/Mpc]  P_LCDM [(Mpc/h)^3]  P_SRC [(Mpc/h)^3]  deltaP_over_P
# # z = 0.5
3.7887649103e+00 1.7502244979e+00 1.7501927647e+00 -1.8130900414e-05
3.8038595497e+00 1.7329556225e+00 1.7329243765e+00 -1.8030502609e-05
3.8189541891e+00 1.7156867472e+00 1.7156559882e+00 -1.7928083740e-05
3.8340488285e+00 1.6984178719e+00 1.6983876000e+00 -1.7823582157e-05
3.8491434679e+00 1.6811489966e+00 1.6811192118e+00 -1.7716933679e-05
3.8642381073e+00 1.6638801212e+00 1.6638508235e+00 -1.7608071462e-05
3.8793327467e+00 1.6466112459e+00 1.6465824353e+00 -1.7496925853e-05
3.8944273861e+00 1.6293423706e+00 1.6293140470e+00 -1.7383424252e-05
3.9095220255e+00 1.6120734953e+00 1.6120456588e+00 -1.7267490944e-05
3.9246166649e+00 1.5948046199e+00 1.5947772706e+00 -1.7149046936e-05
3.9397113043e+00 1.5775357446e+00 1.5775088823e+00 -1.7028009777e-05
3.9548059436e+00 1.5602668693e+00 1.5602404941e+00 -1.6904293363e-05
3.9699005830e+00 1.5429979940e+00 1.5429721058e+00 -1.6777807739e-05
3.9849952224e+00 1.5257291186e+00 1.5257037176e+00 -1.6648458875e-05
4.0000898618e+00 1.5084602433e+00 1.5084353294e+00 -1.6516148435e-05
4.0151845012e+00 1.4911913680e+00 1.4911669411e+00 -1.6380773529e-05
4.0302791406e+00 1.4739224927e+00 1.4738985529e+00 -1.6242226445e-05
4.0453737800e+00 1.4566536173e+00 1.4566301646e+00 -1.6100394363e-05
4.0604684194e+00 1.4393847420e+00 1.4393617764e+00 -1.5955159048e-05
4.0755630588e+00 1.4221158667e+00 1.4220933882e+00 -1.5806396524e-05
4.0906576982e+00 1.4048469914e+00 1.4048249999e+00 -1.5653976716e-05
4.1057523376e+00 1.3875781160e+00 1.3875566117e+00 -1.5497763077e-05
4.1208469770e+00 1.3703092407e+00 1.3702882234e+00 -1.5337612175e-05
4.1359416164e+00 1.3530403654e+00 1.3530198352e+00 -1.5173373257e-05
4.1510362558e+00 1.3357714901e+00 1.3357514470e+00 -1.5004887771e-05
4.1661308952e+00 1.3185026147e+00 1.3184830587e+00 -1.4831988863e-05
4.1812255346e+00 1.3012337394e+00 1.3012146705e+00 -1.4654500817e-05
4.1963201740e+00 1.2839648641e+00 1.2839462822e+00 -1.4472238469e-05
4.2114148134e+00 1.2666959888e+00 1.2666778940e+00 -1.4285006553e-05
4.2265094528e+00 1.2574167554e+00 1.2573899242e+00 -2.1338356515e-05
4.2416040922e+00 1.2496700680e+00 1.2496434812e+00 -2.1274988868e-05
4.2566987316e+00 1.2419233805e+00 1.2418970383e+00 -2.1210830689e-05
4.2717933710e+00 1.2341766931e+00 1.2341505953e+00 -2.1145867094e-05
4.2868880103e+00 1.2264300056e+00 1.2264041524e+00 -2.1080082819e-05
4.3019826497e+00 1.2186833182e+00 1.2186577094e+00 -2.1013462215e-05
4.3170772891e+00 1.2109366307e+00 1.2109112665e+00 -2.0945989232e-05
4.3321719285e+00 1.2031899433e+00 1.2031648235e+00 -2.0877647404e-05
4.3472665679e+00 1.1954432558e+00 1.1954183805e+00 -2.0808419842e-05
4.3623612073e+00 1.1876965684e+00 1.1876719376e+00 -2.0738289214e-05
4.3774558467e+00 1.1799498809e+00 1.1799254946e+00 -2.0667237733e-05
4.3925504861e+00 1.1722031935e+00 1.1721790517e+00 -2.0595247143e-05
4.4076451255e+00 1.1644565060e+00 1.1644326087e+00 -2.0522298700e-05
4.4227397649e+00 1.1567098186e+00 1.1566861658e+00 -2.0448373160e-05
4.4378344043e+00 1.1489631311e+00 1.1489397228e+00 -2.0373450760e-05
4.4529290437e+00 1.1412164437e+00 1.1411932798e+00 -2.0297511198e-05
4.4680236831e+00 1.1334697562e+00 1.1334468369e+00 -2.0220533621e-05
4.4831183225e+00 1.1257230688e+00 1.1257003939e+00 -2.0142496598e-05
4.4982129619e+00 1.1179763814e+00 1.1179539510e+00 -2.0063378105e-05
4.5133076013e+00 1.1102296939e+00 1.1102075080e+00 -1.9983155506e-05
4.5284022407e+00 1.1024830065e+00 1.1024610651e+00 -1.9901805525e-05
4.5434968801e+00 1.0947363190e+00 1.0947146221e+00 -1.9819304230e-05
4.5585915195e+00 1.0869896316e+00 1.0869681791e+00 -1.9735627005e-05
4.5736861589e+00 1.0792429441e+00 1.0792217362e+00 -1.9650748528e-05
4.5887807983e+00 1.0714962567e+00 1.0714752932e+00 -1.9564642745e-05
4.6038754376e+00 1.0637495692e+00 1.0637288503e+00 -1.9477282842e-05
4.6189700770e+00 1.0560028818e+00 1.0559824073e+00 -1.9388641220e-05
4.6340647164e+00 1.0482561943e+00 1.0482359644e+00 -1.9298689461e-05
4.6491593558e+00 1.0405095069e+00 1.0404895214e+00 -1.9207398305e-05
4.6642539952e+00 1.0327628194e+00 1.0327430785e+00 -1.9114737611e-05
4.6793486346e+00 1.0250161320e+00 1.0249966355e+00 -1.9020676327e-05
4.6944432740e+00 1.0172694445e+00 1.0172501925e+00 -1.8925182456e-05
4.7095379134e+00 1.0095227571e+00 1.0095037496e+00 -1.8828223019e-05
4.7246325528e+00 1.0017760697e+00 1.0017573066e+00 -1.8729764017e-05
4.7397271922e+00 9.9402938221e-01 9.9401086367e-01 -1.8629770390e-05
4.7548218316e+00 9.8628269476e-01 9.8626442071e-01 -1.8528205977e-05
4.7699164710e+00 9.7853600731e-01 9.7851797776e-01 -1.8425033472e-05
4.7850111104e+00 9.7078931987e-01 9.7077153480e-01 -1.8320214380e-05
4.8001057498e+00 9.6304263242e-01 9.6302509184e-01 -1.8213708963e-05
4.8152003892e+00 9.5529594497e-01 9.5527864889e-01 -1.8105476199e-05
4.8302950286e+00 9.4754925753e-01 9.4753220593e-01 -1.7995473721e-05
4.8453896680e+00 9.3980257008e-01 9.3978576297e-01 -1.7883657767e-05
4.8604843074e+00 9.3205588263e-01 9.3203932002e-01 -1.7769983120e-05
4.8755789468e+00 9.2430919519e-01 9.2429287706e-01 -1.7654403045e-05
4.8906735862e+00 9.1656250774e-01 9.1654643410e-01 -1.7536869229e-05
4.9057682256e+00 9.0881582029e-01 9.0879999115e-01 -1.7417331712e-05
4.9208628649e+00 9.0106913285e-01 9.0105354819e-01 -1.7295738815e-05
4.9359575043e+00 8.9332244540e-01 8.9330710523e-01 -1.7172037066e-05
4.9510521437e+00 8.8557575795e-01 8.8556066228e-01 -1.7046171124e-05
4.9661467831e+00 8.7782907051e-01 8.7781421932e-01 -1.6918083692e-05
4.9812414225e+00 8.7008238306e-01 8.7006777636e-01 -1.6787715434e-05
4.9963360619e+00 8.6233569561e-01 8.6232133341e-01 -1.6655004881e-05
5.0114307013e+00 8.5458900817e-01 8.5457489045e-01 -1.6519888336e-05
5.0265253407e+00 8.4684232072e-01 8.4682844749e-01 -1.6382299771e-05
